ID1,ID2,EdgeType,Score,Annotation
695,1336,MS1 annotation,5.500,[M-2H2O+H]+ [M+Na]+ dm/z=58.0031
695,1275,MS1 annotation,5.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9924
697,1153,MS1 annotation,7.500,[M-2H2O+H]+ [M+Na]+ dm/z=58.0028
697,1647,MS1 annotation,7.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
697,1161,MS1 annotation,7.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9924
717,2858,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
726,2604,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9826
728,1973,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
734,3828,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9833
739,1286,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9566
772,9200,MS1 annotation,2.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9920
788,10541,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9565
820,879,MS1 annotation,5.000,[M+Na]+ [M+Na]+ dm/z=0.0026
825,1232,MS1 annotation,7.000,[M+H]+ [M+Na]+ dm/z=21.9833
825,991,MS1 annotation,7.000,[M+H]+ [M+Na]+ dm/z=21.9823
825,1069,MS1 annotation,7.000,[M+K]+ [M+Na]+ dm/z=15.9741
825,7685,MS1 annotation,7.500,[2M+Na]+ [M+Na]+ dm/z=378.2798
825,1029,MS1 annotation,7.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9924
825,7668,MS1 annotation,7.000,[M+H]+ [M+Na]+ dm/z=21.9813
844,1365,MS1 annotation,4.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9925
844,1129,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9737
844,1901,MS1 annotation,4.500,[2M+Na]+ [M+Na]+ dm/z=378.2780
861,2332,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9844
877,8488,MS1 annotation,8.000,[M+Na]+ [M+Na]+ dm/z=0.0004
